113.042183,90.171875,55.789062,92.959373,109.618744,92.932808,77.170311,82.081245,87.531250,97.059372,96.043747,97.821877,110.174995,93.515625,76.699997
89.195312,97.974998,45.418751,35.048435,56.949997,92.487495,51.934372,82.867188,16.904688,64.465622,79.278122,95.290627,59.628124,73.645309,84.792183
55.910934,46.504688,75.965622,75.654686,100.006248,54.731247,68.253120,71.098434,59.420311,67.420311,49.625000,40.123436,73.032814,58.032810,42.890625
93.646873,35.301563,75.581245,115.767181,96.857811,82.574997,102.123436,63.870312,53.914062,88.004684,83.901558,42.071873,92.101562,83.962502,64.518745
109.645309,57.065624,100.059372,97.564064,112.292183,98.349998,113.662498,95.673439,92.673439,99.224998,100.551559,100.765625,124.842186,97.217186,108.948433
91.946877,92.942184,55.112499,82.665627,98.317184,124.478119,75.790627,49.104687,65.676559,81.723434,94.967186,118.856247,115.835938,64.276558,111.824997
77.242188,52.360935,67.662498,102.160934,114.281250,76.542183,122.470306,52.426559,38.048435,80.084373,99.503120,84.854683,87.495308,73.237495,102.587494
82.371872,84.378120,70.401558,62.562500,95.432808,49.420311,52.349998,104.162498,13.059375,83.214058,64.310936,72.224998,101.351562,98.148438,48.618748
87.620308,16.829687,59.182812,53.807812,92.970314,66.839058,38.149998,12.965625,131.321869,74.648438,52.396873,97.320312,10.281250,85.270309,83.243752
98.359375,64.431252,67.551559,88.184372,100.034370,82.173439,80.215622,82.750000,74.339058,117.937500,93.823433,79.860939,99.924995,87.356247,87.735939
96.612495,79.031250,50.081249,83.609375,101.034370,95.470314,99.815620,64.229683,52.385937,94.692184,120.371872,106.515625,96.787498,93.518745,111.464058
98.051559,94.657814,40.482811,43.032810,101.356247,118.890625,84.051559,72.320312,98.228127,79.282814,107.051559,116.685936,98.365623,76.250000,102.592186
110.031250,60.242188,73.854683,91.339058,124.598434,116.315620,86.892189,102.078125,10.223437,99.843750,97.339058,97.424995,133.607803,98.151558,111.232811
93.276558,72.260933,57.235935,83.443748,98.609375,64.287498,73.978127,98.335938,85.678123,87.695312,93.842186,77.034370,98.079689,129.762497,73.446877
76.215622,84.821877,43.143749,65.428123,109.546875,111.899994,102.862495,47.928123,82.573433,87.881248,111.318748,102.757812,111.646873,74.062500,120.240623
