metric,value
average_return,185.0390625
standard_error_return,5.471680029923702
average_diagonal,208.21875
standard_error_diagonal,5.00917127626916
average_off_diagonal,nan
standard_error_off_diagonal,nan
num_ego_agents,5
num_partner_agents,20
num_pairs,100
num_diagonal_pairs,5
num_off_diagonal_pairs,0
